Categoría,Medicamento,Para qué sirve,Dosis terapéutica,Dosis máxima,Precauciones,Efectos secundarios,Dieta especial
Sistema Digestivo (Antidiarreico),Loperamida,"Diarrea aguda, diarrea del viajero.","4 mg (inicio)","8 mg/día","Alergia a componentes, interacción con quinidina/ritonavir, colitis ulcerosa aguda, diarrea por C. difficile, fiebre, sangre en heces, hepatopatía, embarazo/lactancia. Causa mareos/somnolencia.","Estreñimiento, fatiga, mareos. Graves: íleo paralítico, megacolon tóxico, prolongación QT (a dosis altas).","Beba mucho líquido."
Sistema Digestivo (Antiinflamatorio intestinal),Mesalazina,"Colitis ulcerosa.","2,4-4,8 g/día","4,8 g/día","Alergia a componentes (especialmente a salicilatos), interacción con AINEs/anticoagulantes, antecedentes de pericarditis, enfermedad renal/hepática, embarazo/lactancia.","Estreñimiento, náuseas, dolor articular/espalda, cefalea. Graves: pericarditis, pancreatitis, nefritis tubulointersticial, síndrome similar al lupus.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antiflatulento),Simeticona,"Flatulencia, hinchazón abdominal.","40-125 mg después comidas/al acostarse","500 mg/día","Alergia a componentes, interacción con levotiroxina, embarazo/lactancia.","Generalmente no tiene efectos secundarios. (Ninguno reportado).","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antihistamínico H2),Famotidina,"Úlcera péptica, ERGE, acidez estomacal.","20 mg cada 12h o 40 mg en la noche","80 mg/día","Alergia a componentes, interacción con otros, enfermedad renal/hepática, embarazo/lactancia.","Cefalea, mareos, estreñimiento, diarrea. Graves: hepatotoxicidad (rara), discrasias sanguíneas.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antibiótico intestinal),Rifaximina,"Diarrea del viajero, encefalopatía hepática, SII (con diarrea).","550 mg cada 12h","1650 mg/día","Alergia a componentes, interacción con P-gp (ciclosporina), antecedentes de diarrea por C. difficile, hepatopatía, embarazo/lactancia.","Náuseas, dolor estómago, mareos, fatiga, cefalea. Graves: colitis seudomembranosa, reacciones alérgicas.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Tobramicina (oftálmica),"Infecciones oculares bacterianas.","1-2 gotas cada 4h",,"Alergia a componentes, interacción con otros medicamentos, uso de lentes de contacto, embarazo/lactancia.","Ardor/picazón temporal, lagrimeo, hinchazón. Graves: reacciones alérgicas, queratitis punctata.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Ciprofloxacino (oftálmico),"Conjuntivitis bacteriana, úlceras corneales.","1-2 gotas cada 2-4h",,"Alergia a componentes, interacción con otros, embarazo/lactancia.","Ardor, enrojecimiento, molestias, sabor desagradable. Graves: precipitados blancos en córnea, queratitis.","Consulte sobre consumo de cafeína."
Tópicos (Oftálmicos),Gentamicina (oftálmica),"Infecciones oculares bacterianas.","1-2 gotas cada 4h",,"Alergia a componentes, embarazo/lactancia.","Irritación, ardor, hinchazón. Graves: queratitis punctata, reacciones alérgicas.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Eritromicina (oftálmica),"Infecciones oculares, profilaxis oftalmia neonatal.","Aplicar ungüento 4 veces/día",,"Alergia a componentes, embarazo/lactancia.","Enrojecimiento, picazón, ardor.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Dexametasona (oftálmica),"Inflamación ocular (uveítis, conjuntivitis alérgica).","1 gota 4-6 veces/día",,"Alergia a componentes, diabetes, hipertensión ocular, infecciones virales/fúngicas no tratadas, embarazo/lactancia.","Visión borrosa, presión ocular elevada, cataratas. Graves: glaucoma, adelgazamiento corneal.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Prednisolona (oftálmica),"Inflamación ocular.","1-2 gotas 2-4 veces/día",,"Alergia a componentes, diabetes, hipertensión ocular, infecciones oculares no tratadas, embarazo/lactancia.","Ardor/picazón, visión borrosa temporal. Graves: aumento presión intraocular, cataratas, retraso en cicatrización.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Olopatadina (oftálmica),"Picazón ocular por conjuntivitis alérgica.","1 gota 1-2 veces/día",,"Alergia a componentes, embarazo/lactancia.","Visión borrosa, ardor, ojo seco, cambio gusto. Graves: queratitis, fotofobia.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Ketotifeno (oftálmica),"Conjuntivitis alérgica.","1 gota cada 8-12h",,"Alergia a componentes, embarazo/lactancia.","Ardor, cefalea, ojo seco, visión borrosa. Graves: fotosensibilidad, erupción.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Azelastina (oftálmica),"Conjuntivitis alérgica.","1 gota cada 12h",,"Alergia a componentes, embarazo/lactancia.","Ardor, cefalea, sabor amargo, visión borrosa.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Latanoprost (oftálmica),"Glaucoma, hipertensión ocular.","1 gota por la noche",,"Alergia a componentes, afaquia, inflamación ocular activa, embarazo/lactancia.","Cambio de color del iris (irreversible), crecimiento de pestañas, visión borrosa. Graves: exacerbación de uveítis, edema macular.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Travoprost (oftálmica),"Glaucoma, hipertensión ocular.","1 gota por la noche",,"Alergia a componentes, afaquia, inflamación ocular activa, embarazo/lactancia.","Hiperemia conjuntival, cambio de color del iris, oscurecimiento de pestañas/piel periorbitaria. Graves: edema macular, exacerbación de uveítis.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Timolol (oftálmica),"Glaucoma, hipertensión ocular.","1 gota cada 12h",,"Alergia a componentes, asma, EPOC, bradicardia, insuficiencia cardíaca, diabetes, embarazo/lactancia.","Irritación ocular, visión borrosa, cefalea, depresión. Graves: bradicardia, broncoespasmo, insuficiencia cardíaca.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Brimonidina (oftálmica),"Glaucoma, hipertensión ocular.","1 gota cada 8h",,"Alergia a componentes, depresión, enfermedades vasculares, insuficiencia cardíaca/renal/hepática, embarazo/lactancia.","Irritación, ojo seco, visión borrosa, cefalea, fatiga. Graves: hipotensión sistémica, bradicardia.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Dorzolamida (oftálmica),"Glaucoma, hipertensión ocular.","1 gota cada 8h",,"Alergia a componentes (sulfonamidas), cálculos renales, insuficiencia renal, embarazo/lactancia.","Ardor/escozor, sabor amargo, sensibilidad a la luz. Graves: acidosis metabólica (raro), nefrolitiasis.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Tropicamida (oftálmica),"Dilatación pupilar para examen.","1-2 gotas antes del examen",,"Alergia a componentes, glaucoma de ángulo cerrado (riesgo de ataque), embarazo/lactancia.","Escozor, fotofobia, visión borrosa. Graves: psicosis (raro), hipertensión ocular.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Atropina (oftálmica),"Dilatación pupilar, cicloplejía, tratamiento de uveítis.","1 gota 1-3 veces/día",,"Alergia a componentes, glaucoma de ángulo cerrado, adherencias del iris, hipertrofia prostática, embarazo/lactancia.","Enrojecimiento, fotofobia, visión borrosa, boca seca, enrojecimiento piel. Graves: psicosis tóxica, taquicardia.","Generalmente no es necesario cambiar la dieta."
Tópicos (Oftálmicos),Aciclovir (oftálmica),"Queratitis herpética.","Ungüento 5 veces/día",,"Alergia a componentes, embarazo/lactancia.","Ardor, blefaritis, queratitis punctata.","Generalmente no es necesario cambiar la dieta."
Tópicos (Dermatológicos),Aciclovir (tópica),"Herpes labial, herpes genital.","Aplicar 5 veces/día",,"Alergia a componentes, inmunosupresión, embarazo/lactancia.","Quemazón, escozor, sequedad, descamación.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Tópicos),Clotrimazol (tópica),"Tiña corporal, crural, pedis.","Aplicar 2 veces/día",,"Alergia a componentes, embarazo/lactancia.","Ampollas, enrojecimiento, picazón, ardor, escozor, urticaria.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Tópicos),Miconazol (tópica),"Tiña corporal, crural, pedis.","Aplicar 2 veces/día",,"Alergia a componentes, embarazo/lactancia.","Irritación, ardor, sarpullido.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Sistémicos),Ketoconazol (tópico, suspensión oral),"Tiña corporal, crural, pedis, versicolor.","200 mg 1 vez/día","400 mg/día","Alergia a componentes, interacción con múltiples fármacos, hepatotoxicidad, asma, insuficiencia suprarrenal, embarazo/lactancia.","Cambios textura cabello, ampollas, piel seca. Graves: hepatotoxicidad grave, anafilaxia, prolongación QT.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Sistémicos/Tópicos),Terbinafina,"Onicomicosis, tiña del cuero cabelludo.","250 mg 1 vez/día","250 mg/día","Alergia a componentes, interacción con cimetidina/cafeína/antidepresivos tricíclicos, antecedentes de hepatotoxicidad, insuficiencia renal/hepática, embarazo/lactancia.","Diarrea, dispepsia, cefalea, cambios humor, pérdida interés. Graves: hepatotoxicidad, agranulocitosis, SJS.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Tópicos),Nistatina (tópica),"Candidiasis cutánea.","Aplicar 2-4 veces/día",,"Alergia a componentes, embarazo/lactancia.","Ardor, dolor, sarpullido, urticaria.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Sistémicos),Fluconazol,"Candidiasis (vaginal, esofágica, sistémica), meningitis criptocócica.","150 mg dosis única (vaginal); 200-400 mg/día","800 mg/día","Alergia a componentes, interacción con warfarina/antidiabéticos/AINEs, antecedentes de arritmias, niveles bajos K/Mg, insuficiencia renal/hepática, embarazo/lactancia.","Cefalea, mareos, diarrea, dolor estómago, acidez. Graves: hepatotoxicidad, prolongación QT, SJS.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Sistémicos),Itraconazol,"Candidiasis, aspergilosis, histoplasmosis, onicomicosis.","100-200 mg 1-2 veces/día","400 mg/día","Alergia a componentes, interacción con múltiples fármacos (estatinas, benzodiazepinas), antecedentes de insuficiencia cardíaca, hepatotoxicidad, embarazo/lactancia.","Náuseas, vómitos, diarrea, cefalea, disfunción eréctil, pérdida cabello. Graves: insuficiencia cardíaca, hepatotoxicidad, SJS.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Sistémicos),Voriconazol,"Candidiasis invasiva, aspergilosis, infecciones fúngicas graves.","200 mg cada 12h","400 mg cada 12h","Alergia a componentes, interacción con múltiples fármacos, antecedentes de arritmias, niveles bajos K/Mg, insuficiencia hepática/renal, embarazo/lactancia.","Alteraciones visuales, fotosensibilidad, rash, náuseas. Graves: hepatotoxicidad, prolongación QT, SJS.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Ginecológicos),Clotrimazol (vaginal),"Candidiasis vaginal.","100 mg intravaginal por 7 días",,"Alergia a componentes, interacción con otros, fiebre, escalofríos, flujo maloliente, embarazo/lactancia.","Aumento de ardor, picazón o irritación vaginal.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Ginecológicos),Miconazol (vaginal),"Candidiasis vaginal.","100 mg por 7 días",,"Alergia a componentes, interacción con warfarina, fiebre, escalofríos, flujo maloliente, embarazo/lactancia.","Aumento de ardor, picazón o irritación vaginal.","Generalmente no es necesario cambiar la dieta."
Antifúngicos (Inyectables),Caspofungina (inyección),"Candidiasis invasiva, aspergilosis refractaria.","70 mg (intravenosa)","70 mg/día","Alergia a componentes, interacción con ciclosporina/tacrolimus, antecedentes de hepatotoxicidad, embarazo/lactancia.","Hinchazón, flebitis, diarrea, náuseas, cefalea. Graves: hepatotoxicidad, anafilaxia, SJS.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos),Aciclovir,"Herpes zóster, herpes simple, varicela.","400 mg 3 veces/día","4 g/día","Alergia a componentes, interacción con probenecid, insuficiencia renal, deshidratación, embarazo/lactancia.","Náuseas, vómitos, diarrea, cefalea, fatiga, agitación. Graves: insuficiencia renal aguda, neurotoxicidad (alucinaciones, convulsiones).","Beba mucho líquido."
Antivirales (Sistémicos),Valaciclovir,"Herpes zóster, herpes simple.","500 mg-1 g 1-3 veces/día","3 g/día","Alergia a componentes, interacción con probenecid/cimetidina, insuficiencia renal, inmunosupresión, embarazo/lactancia.","Cefalea, náuseas, vómitos, diarrea, estreñimiento. Graves: síndrome urémico hemolítico, neurotoxicidad, insuficiencia renal.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos),Oseltamivir,"Influenza (gripe).","75 mg cada 12h por 5 días","150 mg/día","Alergia a componentes, interacción con probenecid, insuficiencia renal, enfermedades cardíacas/pulmonares, embarazo/lactancia.","Náuseas, vómitos, dolor estómago, diarrea, cefalea. Graves: reacciones neuropsiquiátricas (convulsiones, delirio), SJS.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - VIH),Lamivudina,"Infección por VIH, hepatitis B.","300 mg/día","300 mg/día","Alergia a componentes, interacción con otros, infección por hepatitis C, insuficiencia renal/pancreática, embarazo/lactancia.","Diarrea, cefalea, insomnio, depresión, fatiga, congestión nasal. Graves: acidosis láctica, pancreatitis aguda, esteatosis hepática.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - VIH),Zidovudina,"Infección por VIH, profilaxis vertical.","300 mg cada 12h","600 mg/día","Alergia a componentes, interacción con otros, neutropenia, anemia, insuficiencia renal, embarazo.","Cefalea, malestar estomacal, estreñimiento, insomnio. Graves: anemia severa, neutropenia, acidosis láctica, miopatía.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - VIH),Dolutegravir,"Infección por VIH.","50 mg 1 vez/día",,"Alergia a componentes, interacción con cationes divalentes (Mg, Al, Ca, Fe), insuficiencia renal/hepática, embarazo.","Insomnio, cefalea, fatiga. Graves: reacciones de hipersensibilidad, hepatotoxicidad.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - Hepatitis B),Entecavir,"Hepatitis B crónica con daño hepático.","0,5 mg 1 vez/día (naive); 1 mg/día (resistente)","1 mg/día","Alergia a componentes, interacción con otros, insuficiencia renal, coinfección VIH (si no está controlado), embarazo/lactancia.","Cefalea. Graves: acidosis láctica, hepatotoxicidad severa al suspender, neuropatía periférica.","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - Hepatitis C),Sofosbuvir,"Hepatitis C crónica.","400 mg 1 vez/día","400 mg/día","Alergia a componentes, interacción con amiodarona/rifampicina, coinfección VIH, insuficiencia renal, diálisis, embarazo/lactancia.","Diarrea, cefalea, fatiga, insomnio, irritabilidad, rash, prurito. Graves: bradicardia sintomática (con amiodarona).","Generalmente no es necesario cambiar la dieta."
Antivirales (Sistémicos - CMV),Ganciclovir,"Retinitis por CMV, profilaxis en inmunodeprimidos.","5 mg/kg cada 12h","10 mg/kg/día","Alergia a componentes, interacción con zidovudina/trimetoprim, enfermedades mentales, convulsiones, insuficiencia renal/hepática, embarazo/lactancia.","Náuseas, vómitos, diarrea, cefalea, neutropenia, trombocitopenia. Graves: carcinogénesis, supresión de médula ósea, infertilidad.","Beber mucho líquido."
Analgésicos (No Opioides),Paracetamol,"Dolor leve a moderado, fiebre.","Adultos: 500-1000 mg cada 6-8h","Adultos: 3000-4000 mg/día","Alergia a componentes, hepatopatía, consumo crónico de alcohol, desnutrición, embarazo/lactancia. No exceder dosis recomendada.","Generalmente bien tolerado. Náuseas, dolor abdominal leve, mareos. Graves: hepatotoxicidad por sobredosis (dosis-dependiente), reacciones cutáneas graves (raro).","Evitar consumo excesivo de alcohol."
AINEs (No Selectivos),Ibuprofeno,"Dolor leve a moderado, fiebre, inflamación.","200-400 mg cada 4-6h","3200 mg/día","Alergia a AINEs, asma, úlcera péptica, hemorragia GI, insuficiencia cardíaca/renal/hepática, hipertensión, embarazo (especialmente 3er trimestre).","Náuseas, vómitos, acidez, mareos. Graves: úlcera péptica/sangrado GI, insuficiencia renal, accidente cerebrovascular.","Tomar con alimentos o leche."
AINEs (No Selectivos),Naproxeno,"Dolor inflamatorio, dismenorrea.","250-500 mg cada 12h","1000 mg/día","Alergia a AINEs, asma, úlcera péptica, hemorragia GI, insuficiencia cardíaca/renal, hipertensión, embarazo (3er trimestre).","Náuseas, acidez, mareos, cefalea. Graves: sangrado GI, nefrotoxicidad, eventos trombóticos.","Tomar con alimentos."
AINEs (No Selectivos),Ácido mefenámico,"Dolor menstrual (dismenorrea), dolor dental, cefalea.","500 mg inicial, luego 250 mg cada 6h","1500 mg/día","Alergia a AINEs, úlcera péptica, hemorragia GI, insuficiencia renal, diarrea crónica, inflamación intestinal, embarazo/lactancia.","Diarrea, dolor abdominal, náuseas. Graves: colitis ulcerosa, insuficiencia renal aguda, anemia hemolítica.","Tomar con alimentos o leche."
AINEs (No Selectivos),Clonixinato de lisina,"Dolor dental, cefalea.","125-250 mg cada 6-8h","750-1000 mg/día","Alergia a AINEs, úlcera péptica, hemorragia GI, insuficiencia renal/hepática, embarazo/lactancia.","Náuseas, acidez, mareos.","Tomar con alimentos."
AINEs (No Selectivos),Ketoprofeno,"Dolor inflamatorio agudo (traumatismos, dental, postoperatorio).","50 mg cada 6-8h","300 mg/día","Alergia a AINEs, úlcera péptica, hemorragia GI, insuficiencia cardíaca/renal, asma, antecedentes de trastorno hemorrágico, embarazo/lactancia.","Náuseas, mareos, somnolencia. Graves: sangrado GI, insuficiencia renal, fotosensibilidad.","Tomar con alimentos."
AINEs (No Selectivos),Piroxicam,"Dolor inflamatorio crónico articular (artritis).","20 mg/día","20 mg/día","Alergia a AINEs, alto riesgo GI, úlcera péptica, insuficiencia cardíaca/renal, hipertensión, enfermedad de Crohn, embarazo/lactancia.","Acidez, náuseas, mareos, edema. Graves: sangrado GI, perforación intestinal, necrólisis epidérmica tóxica.","Tomar con alimentos."
AINEs (No Selectivos),Indometacina,"Gota aguda, artritis inflamatoria.","25-50 mg 2-3 veces/día","200 mg/día","Alergia a AINEs, alto riesgo GI, defectos de coagulación, depresión, Parkinson, epilepsia, insuficiencia cardíaca/renal, embarazo/lactancia.","Cefalea (fronto-occipital), mareos, náuseas, confusión. Graves: hemorragia GI, insuficiencia renal, depresión, psicosis.","Tomar con alimentos."
AINEs (No Selectivos),Diclofenaco,"Dolor musculoesquelético e inflamatorio (articulaciones, lesiones).","50 mg cada 8-12h","150 mg/día","Alergia a AINEs, asma, úlcera péptica, hemorragia GI, insuficiencia cardíaca/renal, hipertensión, embarazo (3er trimestre).","Náuseas, acidez, mareos, cefalea. Graves: hepatotoxicidad, sangrado GI, eventos trombóticos, nefrotoxicidad.","Tomar con alimentos o leche."
AINEs (No Selectivos),Ketorolaco,"Dolor agudo severo (postoperatorio, cólico renal).","10 mg cada 4-6h","40 mg/día (oral); uso máximo 5 días","Alergia a AINEs, alto riesgo GI, sospecha de sangrado, insuficiencia cardíaca/renal, embarazo/lactancia. Uso por tiempo limitado (máx 5 días).","Náuseas, mareos, dolor abdominal. Graves: sangrado GI, insuficiencia renal aguda, broncoespasmo.","Tomar con alimentos."
AINEs (Intermedio),Meloxicam,"Dolor inflamatorio crónico (artritis, artrosis).","7,5-15 mg 1 vez/día","15 mg/día","Alergia a AINEs, antecedentes de úlcera GI, hemorragia GI, insuficiencia cardíaca/renal/hepática, hipertensión, asma, embarazo/lactancia.","Dolor estómago, náuseas, mareos, edema. Graves: sangrado GI, nefrotoxicidad, SJS.","Tomar con alimentos."
AINEs (Selectivos),Celecoxib,"Artritis, artrosis, dolor agudo, dismenorrea.","100-200 mg cada 12-24h","400 mg/día","Alergia a sulfonamidas/AINEs, alto riesgo cardiovascular, antecedentes de sangrado GI, insuficiencia cardíaca/renal/hepática, embarazo/lactancia.","Dolor abdominal, edema, mareos, náuseas. Graves: eventos trombóticos (infarto, ACV), sangrado GI, nefrotoxicidad.","Tomar con alimentos."
AINEs (Selectivos),Etoricoxib,"Artritis, artrosis, gota aguda, dolor musculoesquelético.","30-120 mg 1 vez/día","120 mg/día","Alergia a AINEs, alto riesgo cardiovascular, antecedentes de sangrado GI, insuficiencia cardíaca/renal/hepática, hipertensión no controlada, embarazo/lactancia.","Edema, mareos, cefalea, náuseas, hipertensión. Graves: eventos trombóticos, insuficiencia renal, hepatotoxicidad.","Tomar con alimentos."
Corticoides (Sistémicos),Prednisona,"Enfermedades inflamatorias, autoinmunes, alérgicas, asma.","5-60 mg/día según enfermedad","Ajuste médico","Alergia a corticoides, infecciones sistémicas no tratadas, vacunas con virus vivos, diabetes, hipertensión, osteoporosis, úlcera péptica, glaucoma, embarazo/lactancia. No suspender bruscamente.","Aumento apetito/peso, insomnio, cambios ánimo, hiperglucemia, hipertensión. Graves: supresión suprarrenal, osteoporosis, necrosis avascular, psicosis.","Reducir sal y azúcares si uso prolongado."
Corticoides (Sistémicos),Dexametasona,"Inflamación severa, alergias graves, edema cerebral, enfermedades autoinmunes.","0,5-10 mg/día según indicación",,"Alergia a corticoides, infecciones sistémicas no tratadas, vacunas con virus vivos, diabetes, hipertensión, glaucoma, embarazo/lactancia.","Insomnio, nerviosismo, aumento apetito, retención líquidos. Graves: supresión suprarrenal, psicosis, pancreatitis aguda.","Reducir sal y azúcar si uso prolongado."
Corticoides (Sistémicos/Tópicos),Betametasona,"Inflamación severa, alergias, dermatitis.","Variable según presentación",,"Alergia a corticoides, infecciones sistémicas no tratadas (uso sistémico), vacunas con virus vivos (uso sistémico), embarazo/lactancia.","Irritación local (tópico), aumento peso (sistémico). Graves: supresión suprarrenal (sistémico), atrofia cutánea (tópico prolongado).","Reducir sal si uso prolongado sistémico."
Corticoides (Sistémicos/Tópicos),Hidrocortisona,"Inflamación leve a moderada (tópico), insuficiencia suprarrenal (sistémico).","Variable según vía",,"Alergia a corticoides, infecciones cutáneas no tratadas (tópico), embarazo/lactancia.","Irritación local, enrojecimiento, sequedad. Graves: supresión suprarrenal (sistémico prolongado), atrofia cutánea (tópico).","Generalmente no es necesario."
Corticoides (Inhalados),Budesonida,"Asma, rinitis alérgica.","Variable según inhalador",,"Alergia a corticoides, tuberculosis activa, infecciones respiratorias no tratadas, embarazo/lactancia.","Irritación garganta, tos, ronquera. Graves: candidiasis orofaríngea, supresión suprarrenal (dosis altas).","No requiere cambios."
Corticoides (Inhalados),Fluticasona,"Asma, rinitis alérgica.","Variable según inhalador/spray",,"Alergia a corticoides, tuberculosis activa, infecciones respiratorias no tratadas, embarazo/lactancia.","Irritación nasal, sequedad, dolor garganta. Graves: candidiasis orofaríngea, supresión suprarrenal, glaucoma (spray nasal prolongado).","No requiere cambios."
Corticoides (Inhalados),Beclometasona,"Asma, rinitis alérgica.","Variable según inhalador",,"Alergia a corticoides, tuberculosis activa, infecciones respiratorias no tratadas, embarazo/lactancia.","Tos leve, irritación garganta. Graves: candidiasis orofaríngea, supresión suprarrenal (dosis altas).","No requiere cambios."
Opioides (Débiles),Tramadol,"Dolor moderado a severo.","50-100 mg cada 6-8h","400 mg/día","Alergia a opioides, interacción con ISRS/IMAOs (riesgo síndrome serotoninérgico), antecedentes de epilepsia, dependencia, insuficiencia renal/hepática, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Mareos, somnolencia, náuseas, estreñimiento. Graves: síndrome serotoninérgico, convulsiones, depresión respiratoria, dependencia.","No requiere cambios."
Opioides (Débiles),Codeína,"Dolor leve a moderado, tos seca.","15-60 mg cada 4-6h","360 mg/día","Alergia a opioides, interacción con depresores del SNC, asma, depresión respiratoria, metabolizadores ultrarrápidos (riesgo toxicidad), dependencia, embarazo/lactancia.","Estreñimiento, mareos, somnolencia, náuseas. Graves: depresión respiratoria, dependencia.","No requiere cambios."
Sistema Renal/Urinario (Diuréticos Tiazídicos),Clortalidona,"Hipertensión, edema.","12,5-25 mg 1 vez/día","100 mg/día","Alergia a sulfonamidas, anuria, insuficiencia renal severa, diabetes, gota, colesterol alto, embarazo/lactancia.","Mareos, debilidad, calambres, deshidratación. Graves: hiponatremia, hipopotasemia, hiperuricemia (gota).","Mantener buena hidratación. Control de potasio."
Sistema Renal/Urinario (Diuréticos Tiazídicos),Indapamida,"Hipertensión, edema.","1,5-2,5 mg 1 vez/día","5 mg/día","Alergia a sulfonamidas, anuria, insuficiencia renal severa, diabetes, gota, embarazo/lactancia. Causa somnolencia.","Mareos, fatiga, calambres. Graves: hipopotasemia, hiperuricemia, deshidratación.","Mantener hidratación adecuada."
Sistema Renal/Urinario (Diuréticos de ASA),Furosemida,"Edema, insuficiencia cardíaca, hipertensión.","20-80 mg/día (prn)","600 mg/día (hospitalario)","Alergia a sulfonamidas, anuria, insuficiencia renal severa, coma hepático, embarazo/lactancia.","Mareos, deshidratación, debilidad, calambres. Graves: ototoxicidad (irreversible), nefritis tubulointersticial.","Puede requerir control de potasio e hidratación."
Sistema Renal/Urinario (Diuréticos Ahorradores de Potasio),Amilorida,"Hipertensión, edema.","5-10 mg/día","20 mg/día","Hiperpotasemia, insuficiencia renal, diabetes, gota, embarazo/lactancia.","Náuseas, mareos, debilidad. Graves: hiperpotasemia (arritmias mortales), acidosis metabólica.","Evitar exceso de alimentos/suplementos con potasio."
Sistema Renal/Urinario (Diuréticos Ahorradores de Potasio),Triamtereno,"Hipertensión, edema.","50-100 mg dos veces/día","300 mg/día","Hiperpotasemia, insuficiencia renal, diabetes, gota, litiasis renal, embarazo/lactancia.","Mareos, náuseas, debilidad. Graves: hiperpotasemia, nefrolitiasis, acidosis metabólica.","Evitar exceso de potasio."
Sistema Renal/Urinario (Antibióticos Urinarios),Nitrofurantoína,"Cistitis no complicada, profilaxis ITU recurrente.","50-100 mg cada 6-12h","400 mg/día","Alergia a nitrofurantoína, insuficiencia renal, anuria, oliguria, G6PD (riesgo anemia hemolítica), neuropatía periférica, embarazo (cerca del parto).","Náuseas, dolor abdominal, orina oscura. Graves: hepatotoxicidad, neuropatía periférica, neumonitis intersticial, anemia hemolítica (G6PD).","Tomar con alimentos."
Sistema Renal/Urinario (Antibióticos Urinarios),Fosfomicina,"Cistitis aguda no complicada.","3 g dosis única oral",,"Alergia a fosfomicina, insuficiencia renal severa, embarazo/lactancia.","Náuseas, diarrea, cefalea. Graves: colitis seudomembranosa, anemia hemolítica.","Seguir indicación médica."
Sistema Renal/Urinario (Fluoroquinolonas),Ciprofloxacino (ITU),"ITU complicadas, prostatitis.","250-750 mg cada 12h","1500 mg/día","Alergia a quinolonas, antecedentes de tendinopatía por quinolonas, miastenia gravis, epilepsia, insuficiencia renal/hepática, embarazo/lactancia.","Náuseas, mareos, diarrea, fotosensibilidad. Graves: tendinitis/rotura tendinosa, neuropatía periférica, prolongación QT.","Evitar junto a lácteos/antiácidos."
Sistema Renal/Urinario (Urológicos),Tamsulosina,"HPB (síntomas urinarios).","0,4 mg 1 vez/día","0,8 mg/día","Alergia a tamsulosina, hipotensión ortostática, insuficiencia renal/hepática, cirugía de cataratas (riesgo de complicaciones), embarazo/lactancia.","Mareos, hipotensión, eyaculación anormal (retrógrada). Graves: síndrome del iris flácido intraoperatorio (cirugía de cataratas).","Tomar después de la misma comida cada día."
Sistema Renal/Urinario (Alcalinizantes),Citrato de potasio,"Prevención de cálculos renales (ácido úrico, cistina).","Variable según examen médico",,"Insuficiencia renal, hiperpotasemia, infección urinaria por bacterias productoras de ureasa, embarazo/lactancia.","Náuseas, molestias digestivas. Graves: hiperpotasemia.","Mantener hidratación adecuada."
Sistema Renal/Urinario (Alcalinizantes),Bicarbonato de sodio,"Acidosis metabólica, alcalinización urinaria.","Variable según indicación",,"Alcalosis, hipernatremia, hipocalcemia, insuficiencia cardíaca, hipertensión, edema, embarazo/lactancia.","Distensión abdominal, gases. Graves: hipernatremia, alcalosis metabólica.","Controlar consumo de sodio."
